concept,deps,dep_articles
Additive identity,"['property', 'set', 'element']","['Property (mathematics)', 'Set (mathematics)', 'Element (mathematics)']"
Configuration space (mathematics),"['set', 'configuration', 'system']","['Set (mathematics)', 'Configuration (geometry)', 'Mathematics']"
Coefficient of variation,['a measure of the variability of a population'],['Heart rate variability']
Continuum hypothesis,"['theory', 'function', 'continuous']","['Set theory', 'Function (mathematics)', 'Continuous function']"
Series–parallel graph,"['directed line segment', 'graph', 'vertex']","['Line segment', 'Graph (discrete mathematics)', 'Vertex (geometry)']"
Parallel (operator),"['operator', 'parallel', 'perform']","['Operator (mathematics)', 'HP-01']"
Subspace theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Exotic sphere,"['surface', 'sphere', 'spherical']","['Surface (mathematics)', 'Sphere', 'Spherical cap']"
Coordinate system,['geometry'],['Geometry']
Triangulation,"['polygon', 'length', 'triangle']","['Polygon', 'Length', 'Triangle']"
Range space,"['set', 'plane', 'point']","['Set (mathematics)', 'Plane (geometry)', 'Point (geometry)']"
Cholesky decomposition,"['recursion', 'algorithm', 'polynomial']","['Recursion', 'Algorithm', 'Polynomial']"
Remainder,"['remainder', 'division', 'whole number']","['Division (mathematics)', 'Whole number']"
Transformation (function),['transformation (mathematics)'],['History of mathematics']
Adult development,"['mathematical model', 'development', 'growth']","['Mathematical model', 'Function (mathematics)', 'Mathematics']"
Relaxation (iterative method),"['method', 'solve', 'equation']","['Mathematics', 'Solver', 'Equation']"
Parity (mathematics),"['property', 'number', 'set']","['Property (mathematics)', 'Number', 'Set (mathematics)']"
Definite matrix,"['matrix', 'solution', 'matrix']","['Matrix (mathematics)', 'Equation', 'Matrix (mathematics)']"
Elementary arithmetic,"['arithmetic', 'solve', 'problem']","['Arithmetic', 'Solver', 'Word problem (mathematics)']"
List of numerical analysis topics,"['list', 'topic', 'concept']","['Mathematics', 'Mathematics', 'Concept']"
Differentiation rules,"['rule', 'thumb', 'mathematician']","[""Cramer's rule"", 'Curl (mathematics)', 'Mathematician']"
Poisson kernel,"['kernel', 'random', 'variable']","['Kernel (image processing)', 'Random walk', 'Variable (mathematics)']"
Voltage,"['difference', 'measure', 'point']","['Finite difference', 'Measure (mathematics)', 'Point (geometry)']"
Hilbert space,"['set', 'point', 'Hilbert space']","['Set (mathematics)', 'Point (geometry)']"
Group action,"['group', 'individual', 'act']","['Group (mathematics)', 'Matrix (mathematics)', 'ACT (test)']"
Multilinear map,"['map', 'combination', 'map']","['Map (mathematics)', 'Combination', 'Map (mathematics)']"
Reduced cost,"['reduced cost', 'cost', 'reduce']","['Sunk cost', 'Reduce (computer algebra system)']"
Turning,"['axis', 'rotation', 'axis of revolution']","['Axis', 'Rotation (mathematics)', 'Solid of revolution']"
Positive definiteness,"['positive definiteness', 'cardinality', 'set']","['Cardinality', 'Set (mathematics)']"
Mathematical and theoretical biology,"['morphology', 'phylogeny', 'and evolution']","['Opening (morphology)', 'Phylogenetics', 'Evolution']"
Edge contraction,"['change', 'length', 'segment']","['Rate (mathematics)', 'Length', 'Line segment']"
Probability theory,"['probability theory', 'statistical inference']",['Statistical inference']
Directed graph,"['directed graph', 'point', 'edge']","['Point (geometry)', 'Graph (discrete mathematics)']"
Group theory,['Group (mathematics)'],['Pure mathematics']
Simplex algorithm,"['algorithm', 'solve', 'problem']","['Algorithm', 'Solver', 'Word problem (mathematics)']"
Seven-dimensional cross product,"['product', 'vector', 'product']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Product (mathematics)']"
Eigenvalue algorithm,"['method', 'solve', 'equation']","['Mathematics', 'Solver', 'Equation']"
Antiparallel (mathematics),"['line', 'parallel', 'perpendicular']","['Line (geometry)', 'Parallel (operator)', 'Perpendicular']"
Parameter,['a mathematical quantity that specifies the value of a particular quantity'],['Mathematical statistics']
List of paradoxes,"['list', 'paradox', 'mathematical']","['Mathematics', 'Paradox', 'Mathematics']"
Ordered field,"['set', 'element', 'group']","['Set (mathematics)', 'Element (mathematics)', 'Group (mathematics)']"
De Moivre's formula,"['area', 'circle', 'formula']","['Area', 'Circle', 'Formula']"
Cosine similarity,"['similarity', 'measure', 'vector']","['Similarity (geometry)', 'Measure (mathematics)', 'Vector (mathematics and physics)']"
Split-complex number,"['prime number', 'complex number']","['Prime number', 'Complex number']"
Operator norm,"['difference', 'measure', 'magnitude']","['Finite difference', 'Measure (mathematics)', 'Magnitude (mathematics)']"
Particle swarm optimization,"['stochastic', 'algorithm', 'algorithmic']","['Stochastic', 'Algorithm', 'Algorithm']"
Algebraic structure,"['group', 'set', 'object']","['Group (mathematics)', 'Set (mathematics)', 'Category (mathematics)']"
Factorial,"['product', 'number', 'number system']","['Product (mathematics)', 'Number', 'Number']"
Shannon number,"['entropy', 'measure', 'data']","['Entropy (information theory)', 'Measure (mathematics)', 'Mathematics']"
Hypothesis,"['true or false', 'statement']","['Truth value', 'Mathematics']"
Basis function,"['series', 'function', 'sum']","['Series (mathematics)', 'Function (mathematics)', 'Series (mathematics)']"
Ohm's law,"['energy', 'conservation', 'law']","['Energy', 'Conservation', 'Mathematics']"
Degenerate conic,"['parabola', 'curve']","['Parabola', 'Curve']"
1,"['number', 'set', 'sum']","['Number', 'Set (mathematics)', 'Series (mathematics)']"
Approximation theory,"['differential geometry', 'partial differential equations']","['Differential geometry', 'Partial differential equation']"
Laplacian matrix,"['vector', 'space', 'matrix']","['Vector (mathematics and physics)', 'Space (mathematics)', 'Matrix (mathematics)']"
Speed learning,"['learning', 'curve', 'learn']","['Rote learning', 'Curve', 'Addition']"
Variation of parameters,"['change', 'value', 'parameter']","['Rate (mathematics)', 'Truth value', 'Parameter']"
Associated Legendre polynomials,"['polynomial', 'root', 'combination']","['Polynomial', 'Root (disambiguation)', 'Combination']"
Right ascension,"['axis', 'circle', 'centre']","['Axis', 'Circle', 'Mathematics']"
Galois theory,"['group', 'ring', 'theory']","['Group (mathematics)', 'Ring (mathematics)', 'Set theory']"
Super-recursive algorithm,"['function', 'algorithm', 'problem']","['Function (mathematics)', 'Algorithm', 'Word problem (mathematics)']"
Canonical normal form,"['set', 'group', 'equivalence']","['Set (mathematics)', 'Group (mathematics)', 'Equivalence class']"
Chemistry,"['set', 'reaction', 'chemical']","['Set (mathematics)', 'Reaction rate']"
Minimal polynomial (field theory),"['polynomial', 'zero', 'zeros']","['Polynomial', '0', '0']"
Earthquake engineering,['earthquake engineering'],[]
Irrational number,"['number', 'number system']","['Number', 'Number']"
Analytic function,"['series', 'function', 'sum']","['Series (mathematics)', 'Function (mathematics)', 'Series (mathematics)']"
Morphism,"['identity', 'function', 'object']","['Identity (mathematics)', 'Function (mathematics)', 'Category (mathematics)']"
Correlation coefficient,"['degree of correlation', 'measure']","['Degree of coherence', 'Measure (mathematics)']"
Dual space,"['metric', 'space', 'point']","['Metric space', 'Space (mathematics)', 'Point (geometry)']"
Laplace's equation,"['differential equation', 'function', 'solution']","['Differential equation', 'Function (mathematics)', 'Equation']"
Strassen algorithm,"['algorithm', 'recursion', 'function']","['Algorithm', 'Recursion', 'Function (mathematics)']"
Ordinary differential equation,"['time', 'function', 'equation']","['Local time (mathematics)', 'Function (mathematics)', 'Equation']"
Standard error,['a measure of the variability of a measurement'],['Heart rate variability']
Negative number,"['negative real number', 'real number']",['Real number']
Resolution (logic),"['implication', 'syllogism', 'conclusion']","['Triviality (mathematics)', 'Syllogism', 'Conjecture']"
Evaluation,"['point', 'function', 'value']","['Point (geometry)', 'Function (mathematics)', 'Truth value']"
Triangle inequality,"['polygon', 'length', 'triangle']","['Polygon', 'Length', 'Triangle']"
Plane (geometry),"['surface', 'figure', 'draw']","['Surface (mathematics)', 'Shape', 'Set (mathematics)']"
Tangent,"['convexity', 'concavity', 'curve']","['Convex set', 'Calculus', 'Curve']"
Transformation optics,"['model', 'light', 'transform']","['Mathematics', 'Light', 'Z-transform']"
Rational root theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Directrix,"['line', 'x-axis', 'segment']","['Line (geometry)', 'Axis', 'Line segment']"
Poynting vector,"['line of sight', 'vector']","['Telescopic sight', 'Vector (mathematics and physics)']"
Vanishing point,"['point', 'curve', 'gradient']","['Point (geometry)', 'Curve', 'Gradient']"
Maxwell's equations,"['field', 'electromagnetic', 'field theory']","['Field (mathematics)', 'Electromagnetism', 'Gauge theory (mathematics)']"
Scalar multiplication,['scalar multiplication'],[]
Matrix equivalence,"['matrix', 'vector', 'interchange']","['Matrix (mathematics)', 'Vector (mathematics and physics)', 'Matrix (mathematics)']"
Linear map,"['map', 'function', 'y']","['Map (mathematics)', 'Function (mathematics)', 'Locus (mathematics)']"
Distributive property,"['property', 'member', 'group']","['Property (mathematics)', 'Element (mathematics)', 'Group (mathematics)']"
Geometric median,"['line segment', 'set', 'point']","['Line segment', 'Set (mathematics)', 'Point (geometry)']"
Crystal (mathematics),"['crystal', 'solid', 'crystalline']",['Solid']
Perspective (geometry),"['line', 'point', 'sight']","['Line (geometry)', 'Point (geometry)', 'Sight reduction']"
Sphere,"['surface', 'volume', 'spherical']","['Surface (mathematics)', 'Volume', 'Spherical cap']"
Regression dilution,"['model', 'data', 'explain']","['Mathematics', 'Mathematics', 'Mathematics']"
Grover's algorithm,"['algorithm', 'recursion', 'function']","['Algorithm', 'Recursion', 'Function (mathematics)']"
Least squares,"['data', 'set', 'square']","['Mathematics', 'Set (mathematics)', 'Square']"
Monte Carlo method,"['sampling distribution', 'probability', 'random']","['Sampling distribution', 'Probability', 'Random walk']"
Symplectic vector space,"['symplectic group', 'vector space']","['Symplectic group', 'Vector space']"
Vector (mathematics and physics),"['vector', 'quantity', 'direction']",['Quantity']
Diagonal matrix,"['matrix', 'element', 'diagonal']","['Matrix (mathematics)', 'Element (mathematics)', 'Diagonal']"
Ellipsis,"['ellipse', 'convex combination', 'curve']","['Ellipse', 'Convex combination', 'Curve']"
Moore–Penrose inverse,"['inverse', 'function', 'function']","['Inverse function', 'Function (mathematics)', 'Function (mathematics)']"
Spline (mathematics),"['curve', 'point', 'continuous']","['Curve', 'Point (geometry)', 'Continuous function']"
Graphene,"['atom', 'monolayer', 'carbon']","['Atom', 'Soliton', 'Carbon-13']"
Topological vector space,"['topology', 'vector space', 'order']","['Topology', 'Vector space', 'Mathematics']"
Group testing,"['t-test', 'statistical technique']","['Z-test', 'Statistics']"
