concept,dep_articles_de2,dep_articles_de3,dep_articles
Jacobi operator,['Inner product space'],"['Orthonormal basis', 'Matrix (mathematics)', 'Symmetric matrix', 'Inner product space', 'Linear map']","['Symmetric matrix', 'Linear map', 'Inner product space', 'Matrix (mathematics)', 'Orthonormal basis']"
Inverse hyperbolic functions,[],"['Function (mathematics)', 'Asymptote', 'Graph (discrete mathematics)', 'Domain of a function', 'Dependent and independent variables']","['Function (mathematics)', 'Domain of a function', 'Asymptote', 'Graph (discrete mathematics)', 'Dependent and independent variables']"
Substitution cipher,['System of linear equations'],"['System of linear equations', 'Equation', 'Graph of a function', 'Variable (mathematics)', 'Ordered pair']","['System of linear equations', 'Variable (mathematics)', 'Equation', 'Ordered pair', 'Graph of a function']"
List of numerical analysis topics,[],"['Matrix (mathematics)', 'Row echelon form', 'Elementary matrix', 'Henry John Stephen Smith', 'Stephen Smith (Australian politician)']","['Henry John Stephen Smith', 'Elementary matrix', 'Stephen Smith (Australian politician)', 'Row echelon form', 'Matrix (mathematics)']"
History of the function concept,[],[],[]
Rotation (mathematics),"['Euler angles', 'Hadamard matrix']","['Matrix (mathematics)', 'Vector space', 'Formula', 'Action (physics)', 'Real number']","['Formula', 'Vector space', 'Real number', 'Action (physics)', 'Euler angles', 'Matrix (mathematics)', 'Hadamard matrix']"
Fibonacci,['Recurrence plot'],"['Eigenvalues and eigenvectors', 'Fibonacci number', 'Pisa', 'Polynomial', 'Sequence']","['Recurrence plot', 'Sequence', 'Polynomial', 'Pisa', 'Fibonacci number', 'Eigenvalues and eigenvectors']"
Random number generation,[],"['Matrix (mathematics)', 'Electric generator', 'Column', 'Linear code', 'Row echelon form']","['Linear code', 'Row echelon form', 'Electric generator', 'Column', 'Matrix (mathematics)']"
Empty set,"['Union (set theory)', 'Vector notation', 'Set (mathematics)', 'Subset', 'Ring (mathematics)']","['Real number', 'Intersection (set theory)', 'Linear algebra', 'Algebra', 'Linear subspace']","['Intersection (set theory)', 'Vector notation', 'Algebra', 'Real number', 'Ring (mathematics)', 'Linear algebra']"
Electromagnetic tensor,[],"['Tensor product', 'Multilinear map', 'Function (mathematics)', 'Module (mathematics)', 'Associative property']","['Function (mathematics)', 'Associative property', 'Module (mathematics)', 'Tensor product', 'Multilinear map']"
Parabola,[],"['Quadratic function', 'Cartesian coordinate system', 'Function (mathematics)', 'Rotation', 'Graph of a function']","['Function (mathematics)', 'Cartesian coordinate system', 'Quadratic function', 'Rotation', 'Graph of a function']"
Regression analysis,[],"['Linear regression', 'Mathematical model', 'Exponential function', 'Graph of a function', 'Equation']","['Exponential function', 'Equation', 'Linear regression', 'Mathematical model', 'Graph of a function']"
Mind map,[],[],[]
Antiunitary operator,[],"['Linear map', 'Vector space', 'Linear subspace', 'Matrix (mathematics)', 'Invariant (mathematics)']","['Linear map', 'Vector space', 'Invariant (mathematics)', 'Linear subspace', 'Matrix (mathematics)']"
Vertical line test,[],"['Graph of a function', 'Function (mathematics)', 'Graph (discrete mathematics)', 'Point (geometry)', 'African Americans']","['Function (mathematics)', 'African Americans', 'Graph (discrete mathematics)', 'Point (geometry)', 'Graph of a function']"
Precision (computer science),"[""Gauss's method"", 'Data analysis']","['Grammatical number', 'Computer', 'Floating-point arithmetic', 'Matrix (mathematics)', 'Multiplication']","['Multiplication', 'Floating-point arithmetic', 'Grammatical number', 'Computer', ""Gauss's method"", 'Matrix (mathematics)', 'Data analysis']"
Householder transformation,[],"['Linear map', 'Matrix (mathematics)', 'Rotation', 'Vector space', 'Reflection (physics)']","['Linear map', 'Vector space', 'Rotation', 'Matrix (mathematics)', 'Reflection (physics)']"
Autonomous system (mathematics),"['System of linear equations', 'Consistency', 'Ω-consistent theory']","['System of linear equations', 'Equation', 'Variable (mathematics)', 'Ordered pair', 'Y-intercept']","['Y-intercept', 'System of linear equations', 'Variable (mathematics)', 'Equation', 'Ordered pair']"
Asymptote,['Vertical tangent'],"['Graph (discrete mathematics)', 'Function (mathematics)', 'Behavior', 'Infinity', 'Extended real number line']","['Function (mathematics)', 'Behavior', 'Vertical tangent', 'Infinity', 'Graph (discrete mathematics)', 'Extended real number line']"
Chemical reaction network theory,[],"['Chemical reaction', 'Oxygen', 'Equation', 'Hydrogen', 'Row echelon form']","['Chemical reaction', 'Oxygen', 'Row echelon form', 'Hydrogen', 'Equation']"
Critical exponent,['Complex number'],[],['Complex number']
Fast Fourier transform,[],"['Euclidean vector', 'Orthogonal basis', 'Polynomial', 'Fourier series', 'Vector space']","['Vector space', 'Euclidean vector', 'Fourier series', 'Polynomial', 'Orthogonal basis']"
Group testing,[],"['Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Diagonalizable matrix', 'Orthogonal matrix', 'Orthogonal diagonalization']","['Diagonalizable matrix', 'Orthogonal matrix', 'Orthogonal diagonalization', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Fermat's principle,[],[],[]
Spectral density,[],"['Inner product space', 'Vector space', 'Projection (linear algebra)', 'Dimension (vector space)', 'Direct sum']","['Dimension (vector space)', 'Vector space', 'Inner product space', 'Projection (linear algebra)', 'Direct sum']"
Universal approximation theorem,[],"['Vector space', 'Dimension', 'Dimension (vector space)', 'Projection (linear algebra)', 'Inner product space']","['Dimension (vector space)', 'Vector space', 'Dimension', 'Inner product space', 'Projection (linear algebra)']"
Equation,"['Vacuum solution (general relativity)', 'Line (geometry)']","['Field extension', 'Linear map', 'System of linear equations', 'Kernel (linear algebra)', 'Parametric equation']","['Linear map', 'Kernel (linear algebra)', 'Vacuum solution (general relativity)', 'Field extension', 'Line (geometry)', 'Parametric equation']"
Proportionality (mathematics),"['Bounded variation', 'Inverse problem']","['Calculus of variations', 'Temperature', 'Water', 'Speed', 'Scenic route']","['Temperature', 'Inverse problem', 'Bounded variation', 'Speed', 'Calculus of variations', 'Scenic route', 'Water']"
Gauss map,[],"['System of linear equations', 'Equation', 'Variable (mathematics)', 'Triangular matrix', 'Tuple']","['System of linear equations', 'Variable (mathematics)', 'Triangular matrix', 'Tuple', 'Equation']"
Parity of a permutation,[],"['Permutation', 'Natural order (philosophy)', 'Order theory', 'System of linear equations', 'Parity (mathematics)']","['Permutation', 'Parity (mathematics)', 'Order theory', 'Natural order (philosophy)', 'System of linear equations']"
Euclidean distance,"['Orthogonal matrix', 'Orthonormal basis', 'Congruence (geometry)']","['Matrix (mathematics)', 'Stochastic matrix', 'Polynomial', 'Plane (geometry)', 'Isometry']","['Stochastic matrix', 'Polynomial', 'Orthogonal matrix', 'Orthonormal basis', 'Matrix (mathematics)', 'Congruence (geometry)', 'Plane (geometry)']"
Electrical network,['Junction Grammar'],"['Canal', 'Exercise', 'Resistor', 'Roundabout', 'Diagram']","['Diagram', 'Resistor', 'Roundabout', 'Junction Grammar', 'Canal', 'Exercise']"
Leading-order term,"['Coefficient', 'Degree (graph theory)', 'Order of a polynomial', 'Polynomial']",[],"['Coefficient', 'Degree (graph theory)', 'Order of a polynomial', 'Polynomial']"
Element (mathematics),"['Elementary mathematics', 'System of linear equations']","['Matrix (mathematics)', 'System of linear equations', 'Elementary matrix', 'Partial fraction decomposition', 'Decomposition']","['Elementary mathematics', 'System of linear equations', 'Elementary matrix', 'Decomposition', 'Partial fraction decomposition']"
Nonlinear dimensionality reduction,[],"['Theorem', 'Euclidean vector', 'Kernel (linear algebra)', 'Vector space', 'Lincoln Near-Earth Asteroid Research']","['Theorem', 'Vector space', 'Euclidean vector', 'Kernel (linear algebra)', 'Lincoln Near-Earth Asteroid Research']"
Eigendecomposition of a matrix,"['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Matrix multiplication', 'Diagonalizable group', 'Similarity invariance']","['Matrix (mathematics)', 'Field extension', 'Eigenvalues and eigenvectors', '.example', 'Column']","['Similarity invariance', 'Matrix multiplication', '.example', 'Field extension', 'Column', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Riemann–Roch theorem,"['Affine transformation', 'Lorentz transformation']","['Linear map', 'Vector space', 'Matrix (mathematics)', 'Axiom', 'Minkowski space']","['Minkowski space', 'Linear map', 'Vector space', 'Affine transformation', 'Matrix (mathematics)', 'Axiom', 'Lorentz transformation']"
Variation of parameters,"[""Cramer's rule""]","['Determinant', 'Linear system', 'Euclidean vector', 'Cramer family', 'Shear stress']","['Euclidean vector', 'Determinant', 'Shear stress', ""Cramer's rule"", 'Cramer family', 'Linear system']"
Anti-diagonal matrix,['Matrix decomposition'],"['Matrix (mathematics)', 'Determinant', 'Diagonal matrix', 'Triangular matrix', 'Row echelon form']","['Matrix decomposition', 'Determinant', 'Row echelon form', 'Triangular matrix', 'Diagonal matrix', 'Matrix (mathematics)']"
Musical isomorphism,['Isomorphism'],"['Scalar multiplication', 'Vector space', 'Isomorphism', 'Morphism', 'Bijection']","['Vector space', 'Bijection', 'Scalar multiplication', 'Isomorphism']"
Lagrange polynomial,"['Vandermonde matrix', 'Coefficient', ""Cramer's rule""]","['Polynomial', 'Interpolation', 'Matrix (mathematics)', 'Cramer family', 'Dimension (vector space)']","['Dimension (vector space)', 'Interpolation', 'Coefficient', 'Vandermonde matrix', 'Polynomial', ""Cramer's rule"", 'Matrix (mathematics)', 'Cramer family']"
Isaac Newton,"['Canonical form', 'Echelon formation', 'Elementary matrix', 'Hermite normal form', 'Matrix decomposition']","['Polynomial', 'Euclidean vector', 'Matrix (mathematics)', 'Algorithm', 'Elementary matrix']","['Echelon formation', 'Euclidean vector', 'Matrix decomposition', 'Canonical form', 'Hermite normal form', 'Polynomial', 'Algorithm', 'Elementary matrix', 'Matrix (mathematics)']"
Mathematics,"['System of linear equations', 'Numerical methods for ordinary differential equations', 'Variable (mathematics)', 'Coriolis force', 'Conic section']","['Matrix (mathematics)', 'System of linear equations', 'Theorem', 'Variable (mathematics)', 'Field extension']","['Theorem', 'Coriolis force', 'Numerical methods for ordinary differential equations', 'Variable (mathematics)', 'Field extension']"
Arithmetic,[],"['Sequence', 'Skin condition', 'Arrow keys', 'Recursion', 'Equivalent National Tertiary Entrance Rank']","['Arrow keys', 'Sequence', 'Skin condition', 'Equivalent National Tertiary Entrance Rank', 'Recursion']"
Edge contraction,['Matrix multiplication'],"['Equation', 'Exercise', 'Matrix (mathematics)', 'System of linear equations', 'Reflection (mathematics)']","['Reflection (mathematics)', 'Matrix multiplication', 'System of linear equations', 'Equation', 'Matrix (mathematics)', 'Exercise']"
Nonnegative matrix,"['Matrix addition', 'Pauli matrices', 'Scalar multiplication']","['Associative property', 'Algebra', 'Vector space', 'Matrix (mathematics)', 'Line segment']","['Matrix addition', 'Vector space', 'Algebra', 'Associative property', 'Pauli matrices', 'Scalar multiplication', 'Line segment', 'Matrix (mathematics)']"
Radius,[],"['Square root', 'Perfect square', 'Completing the square', 'Trinomial nomenclature', 'Irreversible binomial']","['Completing the square', 'Square root', 'Irreversible binomial', 'Trinomial nomenclature', 'Perfect square']"
Bounded operator,[],"['Linear map', 'Vector space', 'Isometry', 'Projection (linear algebra)', 'Transformation matrix']","['Isometry', 'Linear map', 'Vector space', 'Transformation matrix', 'Projection (linear algebra)']"
